MENINGITE - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação
Período:2007-2023
"Município de notificação";"Casos_confirmados"
"210005 ACAILANDIA";8
"210015 AGUA DOCE DO MARANHAO";1
"210030 ALDEIAS ALTAS";1
"210050 ALTO PARNAIBA";1
"210060 AMARANTE DO MARANHAO";1
"210070 ANAJATUBA";2
"210080 ANAPURUS";2
"210095 ARAME";1
"210120 BACABAL";5
"210140 BALSAS";59
"210150 BARAO DE GRAJAU";1
"210160 BARRA DO CORDA";14
"210170 BARREIRINHAS";11
"210180 BENEDITO LEITE";1
"210193 BERNARDO DO MEARIM";1
"210200 BOM JARDIM";1
"210220 BURITI";1
"210232 BURITICUPU";2
"210250 CAJARI";1
"210255 CAMPESTRE DO MARANHAO";1
"210260 CANDIDO MENDES";1
"210270 CANTANHEDE";1
"210280 CAROLINA";1
"210300 CAXIAS";47
"210320 CHAPADINHA";4
"210325 CIDELANDIA";1
"210330 CODO";13
"210340 COELHO NETO";10
"210350 COLINAS";1
"210360 COROATA";18
"210370 CURURUPU";1
"210375 DAVINOPOLIS";2
"210400 ESPERANTINOPOLIS";3
"210405 ESTREITO";2
"210408 FERNANDO FALCAO";1
"210409 FORMOSA DA SERRA NEGRA";3
"210467 GOVERNADOR NUNES FREIRE";1
"210480 GRAJAU";6
"210520 IGARAPE GRANDE";2
"210530 IMPERATRIZ";181
"210540 ITAPECURU MIRIM";4
"210560 JOSELANDIA";1
"210600 LIMA CAMPOS";1
"210610 LORETO";1
"210640 MATA ROMA";1
"210650 MATINHA";2
"210663 MATOES DO NORTE";1
"210670 MIRADOR";2
"210690 MONCAO";6
"210710 MORROS";1
"210750 PACO DO LUMIAR";4
"210780 PARNARAMA";4
"210805 PAULINO NEVES";1
"210810 PAULO RAMOS";1
"210820 PEDREIRAS";6
"210845 PERITORO";2
"210860 PINHEIRO";10
"210910 PRESIDENTE DUTRA";49
"210923 PRESIDENTE MEDICI";1
"210930 PRESIDENTE VARGAS";1
"210945 RAPOSA";1
"210950 RIACHAO";1
"210970 SAMBAIBA";6
"210990 SANTA INES";6
"211000 SANTA LUZIA";1
"211027 SANTO AMARO DO MARANHAO";1
"211060 SAO BERNARDO";1
"211070 SAO DOMINGOS DO MARANHAO";2
"211080 SAO FELIX DE BALSAS";1
"211100 SAO JOAO BATISTA";1
"211105 SAO JOAO DO PARAISO";1
"211110 SAO JOAO DOS PATOS";1
"211120 SAO JOSE DE RIBAMAR";9
"211130 SAO LUIS";1481
"211160 SAO RAIMUNDO DAS MANGABEIRAS";6
"211210 TIMBIRAS";6
"211220 TIMON";18
"211230 TUNTUM";3
"211260 URBANO SANTOS";1
"211290 VITORIA DO MEARIM";1
"211300 VITORINO FREIRE";1
"211400 ZE DOCA";1
"220020 AGUA BRANCA";2
"220040 ALTOS";4
"220050 AMARANTE";3
"220105 ASSUNCAO DO PIAUI";2
"220110 AVELINO LOPES";1
"220115 BAIXA GRANDE DO RIBEIRO";1
"220117 BARRA D'ALCANTARA";4
"220120 BARRAS";2
"220150 BATALHA";1
"220160 BENEDITINOS";6
"220170 BERTOLINIA";1
"220173 BETANIA DO PIAUI";1
"220177 BOA HORA";1
"220180 BOCAINA";1
"220190 BOM JESUS";9
"220202 BURITI DOS MONTES";2
"220205 CABECEIRAS DO PIAUI";1
"220208 CAJUEIRO DA PRAIA";1
"220220 CAMPO MAIOR";3
"220230 CANTO DO BURITI";2
"220245 CAPITAO GERVASIO OLIVEIRA";1
"220260 CASTELO DO PIAUI";2
"220271 COCAL DE TELHA";1
"220300 CRISTALANDIA DO PIAUI";1
"220320 CURIMATA";1
"220325 CURRALINHOS";4
"220335 DIRCEU ARCOVERDE";1
"220350 ELESBAO VELOSO";3
"220370 ESPERANTINA";2
"220385 FLORESTA DO PIAUI";1
"220390 FLORIANO";10
"220430 FRONTEIRAS";2
"220450 GUADALUPE";1
"220460 HUGO NAPOLEAO";1
"220470 INHUMA";2
"220500 ITAINOPOLIS";1
"220520 JAICOS";1
"220527 JATOBA DO PIAUI";1
"220530 JERUMENHA";1
"220540 JOAQUIM PIRES";2
"220555 LAGOA ALEGRE";1
"220557 LAGOA DE SAO FRANCISCO";1
"220580 LUZILANDIA";2
"220585 MADEIRO";1
"220590 MANOEL EMIDIO";1
"220620 MIGUEL ALVES";11
"220640 MONSENHOR GIL";2
"220650 MONSENHOR HIPOLITO";3
"220660 MONTE ALEGRE DO PIAUI";1
"220672 NAZARIA";1
"220680 NOSSA SENHORA DOS REMEDIOS";1
"220695 NOVO SANTO ANTONIO";2
"220700 OEIRAS";16
"220710 OLHO D'AGUA DO PIAUI";1
"220770 PARNAIBA";28
"220775 PASSAGEM FRANCA DO PIAUI";1
"220779 PAU D'ARCO DO PIAUI";1
"220780 PAULISTANA";1
"220790 PEDRO II";4
"220800 PICOS";33
"220810 PIMENTEIRAS";2
"220830 PIRACURUCA";4
"220840 PIRIPIRI";7
"220850 PORTO";1
"220855 PORTO ALEGRE DO PIAUI";1
"220870 REDENCAO DO GURGUEIA";1
"220880 REGENERACAO";3
"220900 RIO GRANDE DO PIAUI";1
"220950 SANTO INACIO DO PIAUI";1
"220960 SAO FELIX DO PIAUI";2
"220980 SAO GONCALO DO PIAUI";6
"220990 SAO JOAO DA SERRA";1
"220995 SAO JOAO DA VARJOTA";1
"220997 SAO JOAO DO ARRAIAL";2
"221000 SAO JOAO DO PIAUI";5
"221050 SAO PEDRO DO PIAUI";2
"221060 SAO RAIMUNDO NONATO";2
"221063 SEBASTIAO LEAL";1
"221100 TERESINA";5220
"221110 UNIAO";3
"221120 URUCUI";2
"221130 VALENCA DO PIAUI";1
"221140 VARZEA GRANDE";1
"230015 ACARAPE";5
"230030 ACOPIARA";1
"230070 ALTO SANTO";1
"230100 AQUIRAZ";3
"230110 ARACATI";5
"230120 ARACOIABA";1
"230140 ARATUBA";1
"230160 ASSARE";1
"230185 BANABUIU";3
"230190 BARBALHA";146
"230195 BARREIRA";1
"230200 BARRO";3
"230210 BATURITE";8
"230220 BEBERIBE";1
"230250 BREJO SANTO";12
"230260 CAMOCIM";2
"230280 CANINDE";2
"230320 CARIRIACU";1
"230330 CARIUS";1
"230340 CARNAUBAL";2
"230350 CASCAVEL";1
"230370 CAUCAIA";32
"230393 CHORO";3
"230395 CHOROZINHO";1
"230410 CRATEUS";21
"230420 CRATO";22
"230423 CROATA";1
"230428 EUSEBIO";6
"230430 FARIAS BRITO";1
"230440 FORTALEZA";5469
"230470 GRANJA";1
"230500 GUARACIABA DO NORTE";1
"230523 HORIZONTE";5
"230533 IBICUITINGA";2
"230535 ICAPUI";1
"230540 ICO";4
"230550 IGUATU";11
"230590 IPUEIRAS";3
"230625 ITAITINGA";1
"230640 ITAPIPOCA";6
"230650 ITAPIUNA";1
"230655 ITAREMA";2
"230660 ITATIRA";1
"230690 JAGUARIBE";2
"230725 JIJOCA DE JERICOACOARA";1
"230730 JUAZEIRO DO NORTE";57
"230760 LIMOEIRO DO NORTE";8
"230763 MADALENA";1
"230765 MARACANAU";57
"230780 MARCO";2
"230790 MARTINOPOLE";1
"230810 MAURITI";2
"230830 MILAGRES";4
"230835 MILHA";1
"230850 MOMBACA";1
"230910 MULUNGU";1
"230940 NOVO ORIENTE";1
"230945 OCARA";3
"230950 OROS";1
"230960 PACAJUS";6
"230970 PACATUBA";2
"230980 PACOTI";4
"231000 PALHANO";1
"231030 PARAMBU";1
"231050 PEDRA BRANCA";1
"231060 PENAFORTE";1
"231110 PORTEIRAS";2
"231130 QUIXADA";6
"231140 QUIXERAMOBIM";29
"231150 QUIXERE";1
"231160 REDENCAO";5
"231170 RERIUTABA";4
"231180 RUSSAS";5
"231190 SABOEIRO";1
"231195 SALITRE";1
"231230 SAO BENEDITO";1
"231240 SAO GONCALO DO AMARANTE";12
"231290 SOBRAL";652
"231310 TABULEIRO DO NORTE";2
"231320 TAMBORIL";2
"231325 TARRAFAS";1
"231330 TAUA";1
"231340 TIANGUA";19
"231350 TRAIRI";1
"231360 UBAJARA";2
"231400 VARZEA ALEGRE";2
"240020 ACU";5
"240030 AFONSO BEZERRA";1
"240050 ALEXANDRIA";1
"240100 APODI";1
"240110 AREIA BRANCA";1
"240140 BAIA FORMOSA";1
"240145 BARAUNA";2
"240150 BARCELONA";1
"240160 BENTO FERNANDES";1
"240170 BOM JESUS";2
"240180 BREJINHO";2
"240200 CAICO";4
"240210 CAMPO REDONDO";1
"240220 CANGUARETAMA";2
"240230 CARAUBAS";1
"240240 CARNAUBA DOS DANTAS";3
"240250 CARNAUBAIS";1
"240260 CEARA-MIRIM";4
"240310 CURRAIS NOVOS";9
"240325 PARNAMIRIM";30
"240360 EXTREMOZ";5
"240420 GOIANINHA";2
"240430 GOVERNADOR DIX-SEPT ROSADO";2
"240440 GROSSOS";1
"240450 GUAMARE";1
"240470 IPANGUACU";1
"240480 IPUEIRA";1
"240530 JANUARIO CICCO";1
"240540 JAPI";1
"240580 JOAO CAMARA";2
"240610 JUCURUTU";2
"240620 LAGOA D'ANTA";1
"240630 LAGOA DE PEDRAS";1
"240670 LAJES";1
"240680 LAJES PINTADAS";1
"240700 LUIS GOMES";1
"240710 MACAIBA";7
"240720 MACAU";2
"240770 MONTANHAS";2
"240780 MONTE ALEGRE";1
"240800 MOSSORO";223
"240810 NATAL";1802
"240820 NISIA FLORESTA";1
"240830 NOVA CRUZ";3
"240890 PARELHAS";3
"240930 PATU";1
"240940 PAU DOS FERROS";5
"240980 PEDRO VELHO";1
"241010 POCO BRANCO";1
"241030 SERRA CAIADA";1
"241090 RIACHUELO";2
"241110 RUY BARBOSA";1
"241120 SANTA CRUZ";6
"241150 SANTO ANTONIO";1
"241180 SAO FERNANDO";1
"241190 SAO FRANCISCO DO OESTE";1
"241200 SAO GONCALO DO AMARANTE";4
"241220 SAO JOSE DE MIPIBU";1
"241230 SAO JOSE DO CAMPESTRE";2
"241250 SAO MIGUEL";3
"241255 SAO MIGUEL DO GOSTOSO";2
"241260 SAO PAULO DO POTENGI";2
"241280 SAO RAFAEL";1
"241300 SAO VICENTE";3
"241330 SERRA DE SAO BENTO";2
"241340 SERRA NEGRA DO NORTE";1
"241370 SITIO NOVO";1
"241390 TAIPU";4
"241400 TANGARA";2
"241415 TENENTE LAURENTINO CRUZ";1
"241440 TOUROS";5
"241460 UPANEMA";3
"250053 ALCANTIL";1
"250160 BARRA DE SANTA ROSA";1
"250215 BOA VISTA";1
"250320 CABEDELO";1
"250370 CAJAZEIRAS";29
"250380 CALDAS BRANDAO";1
"250400 CAMPINA GRANDE";366
"250407 CARAUBAS";1
"250430 CATOLE DO ROCHA";2
"250510 CUITE";2
"250600 ESPERANCA";1
"250630 GUARABIRA";3
"250750 JOAO PESSOA";743
"250780 JUNCO DO SERIDO";1
"250800 JURU";1
"250830 LAGOA SECA";1
"250860 LUCENA";1
"250900 MANAIRA";1
"250910 MARI";1
"250915 MARIZOPOLIS";1
"250939 MATUREIA";2
"251080 PATOS";17
"251130 PIANCO";2
"251150 PILAR";1
"251160 PILOES";1
"251170 PILOEZINHOS";1
"251203 POCO DANTAS";1
"251210 POMBAL";4
"251230 PRINCESA ISABEL";1
"251290 RIO TINTO";1
"251310 SALGADO DE SAO FELIX";1
"251330 SANTA HELENA";1
"251340 SANTA LUZIA";1
"251370 SANTA RITA";21
"251500 SAO MIGUEL DE TAIPU";1
"251530 SAPE";1
"251600 SOLANEA";1
"251620 SOUSA";32
"251630 SUME";1
"251650 TAPEROA";1
"260005 ABREU E LIMA";15
"260010 AFOGADOS DA INGAZEIRA";14
"260030 AGRESTINA";1
"260050 AGUAS BELAS";4
"260070 ALIANCA";14
"260080 ALTINHO";1
"260100 ANGELIM";1
"260110 ARARIPINA";3
"260120 ARCOVERDE";20
"260130 BARRA DE GUABIRABA";1
"260140 BARREIROS";2
"260170 BELO JARDIM";1
"260190 BEZERROS";5
"260200 BODOCO";4
"260220 BOM JARDIM";3
"260270 BUENOS AIRES";2
"260280 BUIQUE";1
"260290 CABO DE SANTO AGOSTINHO";82
"260300 CABROBO";2
"260320 CAETES";2
"260345 CAMARAGIBE";6
"260360 CAMUTANGA";2
"260380 CAPOEIRAS";2
"260392 CARNAUBEIRA DA PENHA";1
"260400 CARPINA";5
"260410 CARUARU";210
"260415 CASINHAS";1
"260430 CEDRO";1
"260440 CHA DE ALEGRIA";6
"260450 CHA GRANDE";2
"260460 CONDADO";2
"260490 CUMARU";2
"260520 ESCADA";10
"260530 EXU";2
"260570 FLORESTA";12
"260580 FREI MIGUELINHO";3
"260590 GAMELEIRA";2
"260600 GARANHUNS";19
"260620 GOIANA";13
"260640 GRAVATA";3
"260650 IATI";3
"260680 IGARASSU";10
"260700 INAJA";1
"260720 IPOJUCA";7
"260730 IPUBI";1
"260760 ILHA DE ITAMARACA";5
"260765 ITAMBE";3
"260775 ITAPISSUMA";4
"260780 ITAQUITINGA";1
"260790 JABOATAO DOS GUARARAPES";224
"260795 JAQUEIRA";2
"260805 JATOBA";1
"260810 JOAO ALFREDO";1
"260825 JUCATI";1
"260840 JUREMA";1
"260850 LAGOA DE ITAENGA";1
"260870 LAGOA DOS GATOS";3
"260875 LAGOA GRANDE";2
"260880 LAJEDO";1
"260890 LIMOEIRO";25
"260900 MACAPARANA";1
"260930 MIRANDIBA";2
"260940 MORENO";8
"260950 NAZARE DA MATA";5
"260960 OLINDA";187
"260970 OROBO";1
"260980 OROCO";1
"260990 OURICURI";34
"261000 PALMARES";17
"261020 PANELAS";3
"261030 PARANATAMA";2
"261060 PAUDALHO";2
"261070 PAULISTA";14
"261080 PEDRA";1
"261090 PESQUEIRA";12
"261100 PETROLANDIA";2
"261110 PETROLINA";362
"261140 PRIMAVERA";1
"261160 RECIFE";18585
"261170 RIACHO DAS ALMAS";1
"261180 RIBEIRAO";4
"261190 RIO FORMOSO";4
"261220 SALGUEIRO";13
"261230 SALOA";4
"261240 SANHARO";1
"261250 SANTA CRUZ DO CAPIBARIBE";11
"261260 SANTA MARIA DA BOA VISTA";2
"261280 SANTA TEREZINHA";1
"261300 SAO BENTO DO UNA";2
"261320 SAO JOAO";2
"261330 SAO JOAQUIM DO MONTE";2
"261360 SAO JOSE DO EGITO";2
"261370 SAO LOURENCO DA MATA";53
"261390 SERRA TALHADA";24
"261400 SERRITA";2
"261410 SERTANIA";1
"261420 SIRINHAEM";2
"261450 SURUBIM";1
"261460 TABIRA";2
"261470 TACAIMBO";1
"261485 TAMANDARE";3
"261510 TEREZINHA";1
"261540 TORITAMA";1
"261550 TRACUNHAEM";2
"261600 VENTUROSA";1
"261610 VERDEJANTE";1
"261618 VERTENTE DO LERIO";1
"261620 VERTENTES";2
"261640 VITORIA DE SANTO ANTAO";48
"270030 ARAPIRACA";9
"270040 ATALAIA";1
"270070 BATALHA";2
"270090 BELO MONTE";1
"270110 BRANQUINHA";1
"270170 CAPELA";2
"270210 COLONIA LEOPOLDINA";1
"270230 CORURIPE";3
"270235 CRAIBAS";1
"270240 DELMIRO GOUVEIA";5
"270250 DOIS RIACHOS";1
"270260 FEIRA GRANDE";2
"270280 FLEXEIRAS";1
"270290 GIRAU DO PONCIANO";3
"270340 JACARE DOS HOMENS";1
"270380 JOAQUIM GOMES";2
"270430 MACEIO";1988
"270440 MAJOR ISIDORO";1
"270450 MARAGOGI";1
"270470 MARECHAL DEODORO";7
"270480 MARIBONDO";1
"270500 MATA GRANDE";1
"270644 PARIPUEIRA";1
"270680 PIACABUCU";1
"270710 PIRANHAS";2
"270750 PORTO REAL DO COLEGIO";1
"270770 RIO LARGO";2
"270800 SANTANA DO IPANEMA";10
"270820 SAO BRAS";1
"270840 SAO JOSE DA TAPERA";2
"270860 SAO MIGUEL DOS CAMPOS";2
"270880 SAO SEBASTIAO";2
"270915 TEOTONIO VILELA";2
"270930 UNIAO DOS PALMARES";3
"270940 VICOSA";3
"280010 AMPARO DE SAO FRANCISCO";1
"280030 ARACAJU";766
"280040 ARAUA";2
"280067 BOQUIM";3
"280070 BREJO GRANDE";1
"280150 CARMOPOLIS";1
"280170 CRISTINAPOLIS";2
"280210 ESTANCIA";9
"280290 ITABAIANA";15
"280300 ITABAIANINHA";1
"280320 ITAPORANGA D'AJUDA";2
"280350 LAGARTO";6
"280360 LARANJEIRAS";1
"280440 NEOPOLIS";2
"280460 NOSSA SENHORA DAS DORES";1
"280480 NOSSA SENHORA DO SOCORRO";6
"280510 PEDRINHAS";1
"280550 POCO VERDE";1
"280570 PROPRIA";2
"280580 RIACHAO DO DANTAS";1
"280590 RIACHUELO";2
"280630 SANTA LUZIA DO ITANHY";1
"280670 SAO CRISTOVAO";1
"280680 SAO DOMINGOS";1
"280710 SIMAO DIAS";2
"280730 TELHA";1
"280740 TOBIAS BARRETO";2
"280760 UMBAUBA";2
"290020 ABARE";2
"290030 ACAJUTIBA";3
"290035 ADUSTINA";1
"290040 AGUA FRIA";2
"290070 ALAGOINHAS";45
"290090 ALMADINA";1
"290100 AMARGOSA";7
"290110 AMELIA RODRIGUES";5
"290115 AMERICA DOURADA";3
"290120 ANAGE";1
"290130 ANDARAI";2
"290140 ANGICAL";2
"290150 ANGUERA";1
"290160 ANTAS";1
"290170 ANTONIO CARDOSO";1
"290190 APORA";2
"290205 ARACAS";2
"290210 ARACI";8
"290230 ARATUIPE";3
"290250 BAIANOPOLIS";2
"290260 BAIXA GRANDE";1
"290265 BANZAE";3
"290270 BARRA";14
"290280 BARRA DA ESTIVA";6
"290290 BARRA DO CHOCA";2
"290300 BARRA DO MENDES";7
"290310 BARRA DO ROCHA";2
"290320 BARREIRAS";204
"290323 BARRO ALTO";1
"290327 BARROCAS";1
"290340 BELMONTE";3
"290360 BIRITINGA";1
"290390 BOM JESUS DA LAPA";11
"290395 BOM JESUS DA SERRA";3
"290400 BONINAL";2
"290405 BONITO";2
"290410 BOQUIRA";2
"290430 BREJOES";2
"290440 BREJOLANDIA";1
"290460 BRUMADO";4
"290485 CABACEIRAS DO PARAGUACU";6
"290490 CACHOEIRA";4
"290510 CAEM";2
"290520 CAETITE";19
"290530 CAFARNAUM";5
"290540 CAIRU";1
"290550 CALDEIRAO GRANDE";1
"290560 CAMACAN";1
"290570 CAMACARI";53
"290590 CAMPO ALEGRE DE LOURDES";1
"290600 CAMPO FORMOSO";10
"290610 CANAPOLIS";1
"290620 CANARANA";5
"290630 CANAVIEIRAS";1
"290650 CANDEIAS";45
"290660 CANDIBA";2
"290670 CANDIDO SALES";4
"290680 CANSANCAO";1
"290682 CANUDOS";3
"290687 CAPIM GROSSO";5
"290700 CARDEAL DA SILVA";2
"290720 CASA NOVA";3
"290730 CASTRO ALVES";9
"290750 CATU";36
"290760 CENTRAL";2
"290780 CICERO DANTAS";6
"290790 CIPO";3
"290800 COARACI";2
"290810 COCOS";1
"290830 CONCEICAO DO ALMEIDA";1
"290850 CONCEICAO DO JACUIPE";3
"290860 CONDE";12
"290870 CONDEUBA";1
"290880 CONTENDAS DO SINCORA";1
"290890 CORACAO DE MARIA";4
"290900 CORDEIROS";2
"290910 CORIBE";1
"290930 CORRENTINA";6
"290940 COTEGIPE";1
"290970 CRISTOPOLIS";4
"290980 CRUZ DAS ALMAS";9
"291000 DARIO MEIRA";1
"291005 DIAS D'AVILA";7
"291010 DOM BASILIO";2
"291030 ELISIO MEDRADO";1
"291040 ENCRUZILHADA";2
"291050 ENTRE RIOS";13
"291060 ESPLANADA";4
"291070 EUCLIDES DA CUNHA";4
"291072 EUNAPOLIS";36
"291075 FATIMA";3
"291080 FEIRA DE SANTANA";441
"291085 FILADELFIA";2
"291110 FORMOSA DO RIO PRETO";5
"291120 GANDU";1
"291140 GLORIA";2
"291160 GOVERNADOR MANGABEIRA";1
"291170 GUANAMBI";49
"291180 GUARATINGA";4
"291185 HELIOPOLIS";1
"291190 IACU";3
"291210 IBICARAI";1
"291220 IBICOARA";2
"291230 IBICUI";1
"291240 IBIPEBA";2
"291250 IBIPITANGA";1
"291270 IBIRAPITANGA";5
"291300 IBITIARA";1
"291310 IBITITA";10
"291320 IBOTIRAMA";1
"291350 IGUAI";3
"291360 ILHEUS";147
"291370 INHAMBUPE";5
"291380 IPECAETA";3
"291390 IPIAU";5
"291400 IPIRA";8
"291410 IPUPIARA";1
"291440 IRAQUARA";4
"291450 IRARA";12
"291460 IRECE";338
"291465 ITABELA";3
"291470 ITABERABA";9
"291480 ITABUNA";341
"291500 ITAETE";1
"291510 ITAGI";1
"291550 ITAJUIPE";3
"291560 ITAMARAJU";18
"291600 ITANHEM";4
"291610 ITAPARICA";6
"291620 ITAPE";1
"291630 ITAPEBI";3
"291640 ITAPETINGA";7
"291650 ITAPICURU";1
"291660 ITAPITANGA";2
"291710 ITORORO";1
"291720 ITUACU";2
"291730 ITUBERA";1
"291750 JACOBINA";11
"291770 JAGUARARI";3
"291790 JANDAIRA";1
"291800 JEQUIE";125
"291810 JEREMOABO";1
"291820 JIQUIRICA";1
"291835 JOAO DOURADO";8
"291840 JUAZEIRO";127
"291845 JUCURUCU";1
"291850 JUSSARA";3
"291875 LAGOA REAL";3
"291880 LAJE";5
"291890 LAJEDAO";1
"291905 LAJEDO DO TABOCAL";1
"291915 LAPAO";3
"291920 LAURO DE FREITAS";45
"291930 LENCOIS";1
"291940 LICINIO DE ALMEIDA";2
"291955 LUIS EDUARDO MAGALHAES";20
"291960 MACAJUBA";2
"291970 MACARANI";1
